Premium Refill Stations, User Address: 35 Christian Reesor Park Avenue, Markham
Station Name, Station Address, Station Price, Displacement, Maps Link
"Mobil", "2810 Markham Rd, Toronto, ON, Canada", "189.6 ¢", "7.79 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2810+Markham+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "7749 Kennedy Rd, Markham, ON, Canada", "186.9 ¢", "7.91 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7749+Kennedy+Rd%2C+Markham%2C+ON%2C+Canada"
"Shell", "6145 Finch Ave E, Toronto, ON, Canada", "186.9 ¢", "8.15 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6145+Finch+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"CENTEX", "4919 Steeles Ave E, Toronto, ON, Canada", "175.9 ¢", "8.61 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=4919+Steeles+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Esso", "5946 Main St, Whitchurch-Stouffville, ON, Canada", "187.9 ¢", "8.83 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5946+Main+St%2C+Whitchurch-Stouffville%2C+ON%2C+Canada"
"Esso", "5551 Finch Ave E, Scarborough, ON, Canada", "182.9 ¢", "8.83 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5551+Finch+Ave+E%2C+Scarborough%2C+ON%2C+Canada"
"Petro-Canada", "12264 10th Line, Whitchurch-Stouffville, ON, Canada", "189.9 ¢", "9.22 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=12264+10th+Line%2C+Whitchurch-Stouffville%2C+ON%2C+Canada"
"Ultramar", "12731 Hwy 48, Whitchurch-Stouffville, ON, Canada", "170.9 ¢", "10.2 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=12731+Hwy+48%2C+Whitchurch-Stouffville%2C+ON%2C+Canada"
"Shell", "3381 Kennedy Rd, Toronto, ON, Canada", "189.9 ¢", "10.03 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3381+Kennedy+Rd%2C+Toronto%2C+ON%2C+Canada"
"Shell", "2650 Brimley Rd, Toronto, ON, Canada", "190.9 ¢", "10.25 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2650+Brimley+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "1149 Morningside Ave, Scarborough, ON, Canada", "195.9 ¢", "10.36 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1149+Morningside+Ave%2C+Scarborough%2C+ON%2C+Canada"
"Esso", "2201 McCowan Rd, Toronto, ON, Canada", "188.9 ¢", "10.59 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2201+McCowan+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "3010 16th Ave, Markham, ON, Canada", "188.9 ¢", "10.72 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3010+Sixteenth+Ave%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "5110 Sheppard Ave E, Toronto, ON, Canada", "187.9 ¢", "10.92 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5110+Sheppard+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Petro-Canada", "3700 Steeles Ave E, Toronto, ON, Canada", "188.9 ¢", "10.99 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3700+Steeles+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Esso", "4000 Finch Ave E, Scarborough, ON, Canada", "195.9 ¢", "11.32 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=4000+Finch+Ave+E%2C+Scarborough%2C+ON%2C+Canada"
"Petro-Canada", "1525 Markham Rd, Toronto, ON, Canada", "194.9 ¢", "11.35 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1525+Markham+Rd%2C+Toronto%2C+ON%2C+Canada"
"Pioneer", "800 Morningside Ave, Toronto, ON, Canada", "173.9 ¢", "11.77 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=800+Morningside+Ave%2C+Toronto%2C+ON%2C+Canada"
"Shell", "1670 McCowan Rd, Toronto, ON, Canada", "193.9 ¢", "11.86 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1670+McCowan+Rd%2C+Toronto%2C+ON%2C+Canada"
"Petro-Canada", "3100 Ellesmere Rd, Toronto, ON, Canada", "188.9 ¢", "12.22 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3100+Ellesmere+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "478 Kingston Rd, Pickering, ON, Canada", "183.9 ¢", "12.38 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=478+Kingston+Rd%2C+Pickering%2C+ON%2C+Canada"
"Shell", "698 Kingston Rd, Pickering, ON, Canada", "192.9 ¢", "12.41 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=698+Kingston+Rd%2C+Pickering%2C+ON%2C+Canada"
"Esso", "6780 Kingston Rd, Toronto, ON, Canada", "188.9 ¢", "12.44 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6780+Kingston+Rd%2C+Toronto%2C+ON%2C+Canada"
"Pioneer", "7445 Kingston Rd, Toronto, ON, Canada", "174.9 ¢", "12.42 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7445+Kingston+Rd%2C+Toronto%2C+ON%2C+Canada"
"Shell", "6731 Kingston Rd, Toronto, ON, Canada", "193.9 ¢", "12.53 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6731+Kingston+Rd%2C+Toronto%2C+ON%2C+Canada"
"Global", "898 Kingston Rd, Pickering, ON, Canada", "176.9 ¢", "12.56 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=898+Kingston+Rd%2C+Pickering%2C+ON%2C+Canada"
"Esso", "7001 Woodbine Ave, MARKHAM, ON, Canada", "188.9 ¢", "12.67 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7001+Woodbine+Ave%2C+MARKHAM%2C+ON%2C+Canada"
"Global", "6483 Kingston Rd, Toronto, ON, Canada", "176.9 ¢", "12.74 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6483+Kingston+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "7010 Woodbine Ave, Markham, ON, Canada", "195.9 ¢", "12.77 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7010+Woodbine+Ave%2C+Markham%2C+ON%2C+Canada"
"Shell", "1201 Markham Rd, Toronto, ON, Canada", "198.9 ¢", "12.79 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1201+Markham+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "255 E Beaver Creek Rd, Richmond Hill, ON, Canada", "188.9 ¢", "12.81 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=255+E+Beaver+Creek+Rd%2C+Richmond+Hill%2C+ON%2C+Canada"
"Ultramar", "98 Island Rd, Toronto, ON, Canada", "175.9 ¢", "12.81 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=98+Island+Rd%2C+Toronto%2C+ON%2C+Canada"
"Shell", "9240 Leslie St, Richmond Hill, ON, Canada", "195.9 ¢", "12.9 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=9240+Leslie+St%2C+Richmond+Hill%2C+ON%2C+Canada"
"Esso", "1150 Markham Rd, Toronto, ON, Canada", "185.9 ¢", "12.93 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1150+Markham+Rd%2C+Toronto%2C+ON%2C+Canada"
"Petro-Canada", "1299 Kingston Rd, Pickering, ON, Canada", "187.9 ¢", "13.03 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1299+Kingston+Rd%2C+Pickering%2C+ON%2C+Canada"
"Esso", "2210 Stouffville Rd, Whitchurch-Stouffville, ON, Canada", "179.9 ¢", "13.07 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2210+Stouffville+Rd%2C+Whitchurch-Stouffville%2C+ON%2C+Canada"
"Petro-Canada", "555 Whites Rd, Pickering, ON, Canada", "184.9 ¢", "13.12 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=555+Whites+Rd%2C+Pickering%2C+ON%2C+Canada"
"Esso", "1485 Elgin Mills Rd E, Richmond Hill, ON, Canada", "188.9 ¢", "13.15 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1485+Elgin+Mills+Rd+E%2C+Richmond+Hill%2C+ON%2C+Canada"
"Esso", "1799 Liverpool Rd, Pickering, ON, Canada", "186.9 ¢", "13.19 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1799+Liverpool+Rd%2C+Pickering%2C+ON%2C+Canada"
"Esso", "285 Lawson Rd, Toronto, ON, Canada", "181.9 ¢", "13.34 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=285+Lawson+Rd%2C+Toronto%2C+ON%2C+Canada"
"Esso", "3600 Sheppard Ave E, Toronto, ON, Canada", "190.9 ¢", "13.42 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3600+Sheppard+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Esso", "1615 Ellesmere Rd, Scarborough, ON, Canada", "184.9 ¢", "13.45 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1615+Ellesmere+Rd%2C+Scarborough%2C+ON%2C+Canada"
"Petro-Canada", "2900 Finch Ave E, Toronto, ON, Canada", "189.9 ¢", "13.48 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2900+Finch+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Esso", "1300 Bayly St, Pickering, ON, Canada", "185.9 ¢", "13.51 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1300+Bayly+St%2C+Pickering%2C+ON%2C+Canada"
"Shell", "3101 Victoria Park Ave, Toronto, ON, Canada", "195.9 ¢", "13.55 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3101+Victoria+Park+Ave%2C+Toronto%2C+ON%2C+Canada"
"Esso", "2900 Steeles Ave E, Thornhill, ON, Canada", "190.9 ¢", "13.47 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=2900+Steeles+Ave+E%2C+Thornhill%2C+ON%2C+Canada"
"Petro-Canada", "1709 Kingston Rd, Pickering, ON, Canada", "181.9 ¢", "13.69 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1709+Kingston+Rd%2C+Pickering%2C+ON%2C+Canada"
"Shell", "935 Liverpool Rd, Pickering, ON, Canada", "188.9 ¢", "13.65 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=935+Liverpool+Rd%2C+Pickering%2C+ON%2C+Canada"
"Pioneer", "12717 Woodbine Ave, Whitchurch-Stouffville, ON, Canada", "174.9 ¢", "13.69 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=12717+Woodbine+Ave%2C+Whitchurch-Stouffville%2C+ON%2C+Canada"
"Petro-Canada", "1800 Brock Rd, Pickering, ON, Canada", "184.9 ¢", "13.9 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1800+Brock+Rd%2C+Pickering%2C+ON%2C+Canada"
"Shell", "408 Hwy 7 E, Richmond Hill, ON, Canada", "193.9 ¢", "13.96 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=408+Hwy+7+E%2C+Richmond+Hill%2C+ON%2C+Canada"
"Shell", "3401 Sheppard Ave E, Toronto, ON, Canada", "193.9 ¢", "13.97 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3401+Sheppard+Ave+E%2C+Toronto%2C+ON%2C+Canada"
"Canadian Tire", "1735 Pickering Pkwy, Pickering, ON, Canada", "184.9 ¢", "14.14 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1735+Pickering+Pkwy%2C+Pickering%2C+ON%2C+Canada"
"Petro-Canada", "1977 Kennedy Rd, Toronto, ON, Canada", "187.9 ¢", "14.11 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1977+Kennedy+Rd%2C+Toronto%2C+ON%2C+Canada"
"Petro-Canada", "701 Krosno Blvd, Pickering, ON, Canada", "185.9 ¢", "14.24 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=701+Krosno+Blvd%2C+Pickering%2C+ON%2C+Canada"
